name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
1 Hotel Arica (Panamericana),reservas@hotelarica.cl,+56 58 223 6500,1 Hotel Arica (Panamericana),Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelarica.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelarica.cl"", ""page"": ""companies/arica/1-hotel-arica-(panamericana).html"", ""vertical"": ""Tourism""}"
2 Antay Hotel & Spa,arica@antayhoteles.cl,+56 58 223 6300,2 Antay Hotel & Spa,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,antayhoteles.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""antayhoteles.cl"", ""page"": ""companies/arica/2-antay-hotel-&-spa.html"", ""vertical"": ""Tourism""}"
3 Diego de Almagro Arica,reservas@dahoteles.com,600 262 0100,3 Diego de Almagro Arica,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,dahoteles.com,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""dahoteles.com"", ""page"": ""companies/arica/3-diego-de-almagro-arica.html"", ""vertical"": ""Tourism""}"
4 Hotel & Spa Las Taguas,Not found,+56 58 242 5166,4 Hotel & Spa Las Taguas,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelspalastaguas.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelspalastaguas.cl"", ""page"": ""companies/arica/4-hotel-&-spa-las-taguas.html"", ""vertical"": ""Tourism""}"
5 Hotel Savona,reservas@hotelsavona.cl,+56 58 223 1000,5 Hotel Savona,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelsavona.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelsavona.cl"", ""page"": ""companies/arica/5-hotel-savona.html"", ""vertical"": ""Tourism""}"
6 Hotel Gavina Express,reservas@gavinaexpress.cl,+56 58 258 3000,6 Hotel Gavina Express,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,gavina.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""gavina.cl"", ""page"": ""companies/arica/6-hotel-gavina-express.html"", ""vertical"": ""Tourism""}"
7 Hotel Apacheta,reservas@hotelapacheta.com,+56 58 252 0150 / WhatsApp: +56 9 4296 9472,7 Hotel Apacheta,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelapacheta.com,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelapacheta.com"", ""page"": ""companies/arica/7-hotel-apacheta.html"", ""vertical"": ""Tourism""}"
8 Hotel Plaza Colón,adm.plazacolon@gmail.com,+56 58 223 1244,8 Hotel Plaza Colón,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,hotelplazacolonarica.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""hotelplazacolonarica.cl"", ""page"": ""companies/arica/8-hotel-plaza-colón.html"", ""vertical"": ""Tourism""}"
9 Hotel El Paso Park,reservashotel@hotelelpaso.cl,+56 9 9544 4790 / WhatsApp: +56 9 5333 3893,9 Hotel El Paso Park,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,No website,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""No website"", ""page"": ""companies/arica/9-hotel-el-paso-park.html"", ""vertical"": ""Tourism""}"
10 Apart Hotel Paros,reservas@aparthotelparos.cl,+56 58 221 5420,10 Apart Hotel Paros,Tourism & Hospitality — Arica,lead,0,tourism,Tourism & Hospitality,arica,aparthotelparos.cl,"{""city"": ""arica"", ""niche"": ""tourism"", ""website"": ""aparthotelparos.cl"", ""page"": ""companies/arica/10-apart-hotel-paros.html"", ""vertical"": ""Tourism""}"
