order,priority,prospect_name,company,to_email,from_name,from_email,subject,niche,landing_page_url,diagnostic_headline,diagnostic_summary,html_file,text_file,recommended_send_date
1,critical,Pintores Santiago,Pintores Santiago,contacto@pintoressantiago.com,NetWebMedia,contact@netwebmedia.com,Su sitio web no está cargando — Pintores Santiago,home-services,https://netwebmedia.com/industries/home-services/contractors/,Sitio caído — dominio sin resolución DNS,"Dominio pintoressantiago.com no resuelve (código 000, 0 bytes). Clientes que buscan en Google ven error 404 al hacer clic. Causa probable: dominio vencido o hosting suspendido.",01-pintores-santiago.html,01-pintores-santiago.txt,2026-05-12
2,medium,Centro Veterinario Ñuñoa,Centro Veterinario Ñuñoa,centroveterinarionunoa@gmail.com,NetWebMedia,contact@netwebmedia.com,No tienen sitio web — eso se nota en Google (Centro Veterinario Ñuñoa),health,https://netwebmedia.com/industries/healthcare/vet/,Sin sitio web — solo redes sociales y Google Maps,"Sin sitio web propio. Búsquedas 'veterinaria urgencia Ñuñoa' y '24 horas' van a la competencia. Sin sistema de reservas online (40% no llama después 19:00). Falta schema VeterinaryCare.",02-centro-veterinario-nunoa.html,02-centro-veterinario-nunoa.txt,2026-05-14
3,critical,Época Estilistas,Época Estilistas,info@epocaestilistas.com,NetWebMedia,contact@netwebmedia.com,Su sitio web está caído — Época Estilistas,beauty,https://netwebmedia.com/industries/beauty/salons/,Sitio caído — dominio activo pero sin servidor web,"Dominio epocaestilistas.com no resuelve. DNS activos (correo funciona) pero sin servidor web. Hosting vencido o migración sin redirección. Clientas nuevas ven error al hacer clic en Google.",03-epoca-estilistas.html,03-epoca-estilistas.txt,2026-05-13
4,medium,Centro de Estética Mary Blanca,Centro de Estética Mary Blanca,contactomaryblanca@gmail.com,NetWebMedia,contact@netwebmedia.com,Mary Blanca — sin sitio web están dejando clientas en la mesa,beauty,https://netwebmedia.com/industries/healthcare/aesthetics/,Sin sitio web — perdiendo búsquedas de depilación láser y faciales,"Sin sitio propio. Búsquedas 'depilación láser' y 'tratamientos faciales' van a competencia con sitio + schema. Sin reservas online (Instagram convierte 3x menos sin reserva directa).",04-mary-blanca.html,04-mary-blanca.txt,2026-05-14
5,high,Bar Proa,Bar Proa,admin@barproa.cl,NetWebMedia,contact@netwebmedia.com,Bar Proa — el sitio carga en 10 segundos (y eso duele),restaurants,https://netwebmedia.com/industries/restaurants/bars/,SEO 58/100 — servidor responde en 10.3 segundos,"Servidor lento (10.3s vs estándar 2.5s). Sin meta description. 0 etiquetas H1. Sin Open Graph (links sin preview en WhatsApp/IG). Score SEO 58/100, Performance 67/100.",05-bar-proa.html,05-bar-proa.txt,2026-05-13
6,high,Clínica Dental Centenario,Clínica Dental Centenario,admin@clinicacentenario.cl,NetWebMedia,contact@netwebmedia.com,Centenario — 3 hallazgos del audit técnico de hoy,health,https://netwebmedia.com/industries/healthcare/dental/,SEO 58/100 — página 647 KB y título cortado en Google,"Página 647 KB (muy pesada para 4G Antofagasta). Título 72 chars (Google lo corta). Sin meta description. 0 H1. SEO 58/100, Performance 65/100.",06-clinica-dental-centenario.html,06-clinica-dental-centenario.txt,2026-05-13
7,high,Ferretería Lagos,Ferretería Lagos,info@ferreterialagos.cl,NetWebMedia,contact@netwebmedia.com,Ferretería Lagos — tres cosas técnicas que cuestan ranking,smb,https://netwebmedia.com/industries/smb/retail/,4 etiquetas H1 + sin JSON-LD + UTF-8 roto,"4 H1 tags (debe ser 1) confunden a Google. Sin schema HardwareStore (Sodimac/Easy sí lo tienen). UTF-8 roto: 'Ferreter�a' en lugar de 'Ferretería' visible en Google. Meta description duplicada del título.",07-ferreteria-lagos.html,07-ferreteria-lagos.txt,2026-05-14
8,vip,Novotel Puerto Montt,Novotel Puerto Montt (Accor),mauren.avalos@accor.com,NetWebMedia,contact@netwebmedia.com,Mauren — propuesta concreta para captar reservas directas,tourism,https://netwebmedia.com/industries/hospitality/hotels/,VIP — Captura local fuera de all.accor.com,"Dominio corporate Accor no compite localmente. Términos 'hotel Puerto Montt' van a Booking/Expedia (15-18% comisión). Solución: landing complementaria con motor reservas directo. Benchmark Accor LATAM: 8-15% migración OTA→directo en 90 días = CLP 8-18M/mes ahorro.",08-novotel-puerto-montt.html,08-novotel-puerto-montt.txt,2026-05-12
9,critical,Salvador Cocina y Café,Salvador Cocina y Café,contacto@salvadorcocinaycafe.cl,NetWebMedia,contact@netwebmedia.com,Su sitio web está vacío — Salvador Cocina y Café,restaurants,https://netwebmedia.com/industries/restaurants/,Sitio responde con 157 bytes (placeholder vacío),"Sitio status 200 pero solo 157 bytes (normal: 50-200 KB). Placeholder de instalación sin contenido. Sin título/H1/meta/menú. Google interpreta como 'sin contenido' — no posiciona. Dominio y correo funcionan.",09-salvador-cocina.html,09-salvador-cocina.txt,2026-05-12
10,critical,Hostal Providencia,Hostal Providencia,reservas@hostalprovidencia.com,NetWebMedia,contact@netwebmedia.com,Su sitio está fallando — Hostal Providencia,tourism,https://netwebmedia.com/industries/hospitality/boutique/,HTTP 500 — servidor inestable + sin schema LodgingBusiness,"Servidor responde HTTP 500 / timeout (~30% del tiempo). Huéspedes ven nada y reservan en Booking. Sin meta description. Sin schema LodgingBusiness (Booking sí lo tiene). Cada visita fallida = reserva directa perdida (margen completo vs 15-18% comisión OTA).",10-hostal-providencia.html,10-hostal-providencia.txt,2026-05-13
