name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Dreams Pedro de Valdivia 5-STAR CASINO,servicioalcliente@dreams.cl,600 424 0000 / +56 9 2723 0102 (WhatsApp),Hotel Dreams Pedro de Valdivia 5-STAR CASINO,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,valdivia.dreams.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""valdivia.dreams.cl"", ""page"": ""companies/valdivia/hotel-dreams-pedro-de-valdivia-5-star-casino.html"", ""vertical"": ""Tourism""}"
Hotel Puerta del Sur 4-STAR RESORT,reservas@puertadelsur.cl,+56 632224500,Hotel Puerta del Sur 4-STAR RESORT,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,puertadelsur.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""puertadelsur.cl"", ""page"": ""companies/valdivia/hotel-puerta-del-sur-4-star-resort.html"", ""vertical"": ""Tourism""}"
Hotel Naguilán HERITAGE,reservas@hotelnaguilan.com,,Hotel Naguilán HERITAGE,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hotelnaguilan.com,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hotelnaguilan.com"", ""page"": ""companies/valdivia/hotel-naguilán-heritage.html"", ""vertical"": ""Tourism""}"
Hotel y Trattoria Di Torlaschi ISO 9001 + SERNATUR Q,reservas@hotelditorlaschi.cl,(+56) 63 2224103 / +56998639037 (WhatsApp),Hotel y Trattoria Di Torlaschi ISO 9001 + SERNATUR Q,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hotelditorlaschi.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hotelditorlaschi.cl"", ""page"": ""companies/valdivia/hotel-y-trattoria-di-torlaschi-iso-9001-+-sernatur-q.html"", ""vertical"": ""Tourism""}"
Hotel Melillanca DOWNTOWN,reservas@hotelmelillanca.cl,+56 63 2212509 / +56 9 9918 6589 (WhatsApp),Hotel Melillanca DOWNTOWN,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hotelmelillanca.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hotelmelillanca.cl"", ""page"": ""companies/valdivia/hotel-melillanca-downtown.html"", ""vertical"": ""Tourism""}"
Hotel Diego de Almagro Valdivia NATIONAL CHAIN,centraldereservas@dahoteles.com,+56 63 226 7500,Hotel Diego de Almagro Valdivia NATIONAL CHAIN,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,dahoteles.com/es/da-valdivia,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""dahoteles.com/es/da-valdivia"", ""page"": ""companies/valdivia/hotel-diego-de-almagro-valdivia-national-chain.html"", ""vertical"": ""Tourism""}"
Hotel Boutique Cutipay DEAD + GMAIL!,Lilianortizvera@gmail.com,+56 63 220 4343 / +56 9 9096 8366,Hotel Boutique Cutipay DEAD + GMAIL!,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hotelcutipay.cl —,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hotelcutipay.cl —"", ""page"": ""companies/valdivia/hotel-boutique-cutipay-dead-+-gmail!.html"", ""vertical"": ""Tourism""}"
Hotel Marina Villa del Río RIVERFRONT,reservas@villadelrio.cl,+56 9 3377 1571 (WhatsApp) / 63 2 216293,Hotel Marina Villa del Río RIVERFRONT,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,villadelrio.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""villadelrio.cl"", ""page"": ""companies/valdivia/hotel-marina-villa-del-río-riverfront.html"", ""vertical"": ""Tourism""}"
Hostal del Muelle GMAIL!,hostaldelmuelle@gmail.com,+569 99387010 (WhatsApp),Hostal del Muelle GMAIL!,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hostalvaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hostalvaldivia.cl"", ""page"": ""companies/valdivia/hostal-del-muelle-gmail!.html"", ""vertical"": ""Tourism""}"
Hostal Internacional JOOMLA + GMAIL!,hostalinternacionalvaldivia@gmail.com,+56 63 2212015 / +569 5317 5777 (WhatsApp),Hostal Internacional JOOMLA + GMAIL!,Tourism & Hospitality — Valdivia,lead,0,tourism,Tourism & Hospitality,valdivia,hostalinternacional.cl,"{""city"": ""valdivia"", ""niche"": ""tourism"", ""website"": ""hostalinternacional.cl"", ""page"": ""companies/valdivia/hostal-internacional-joomla-+-gmail!.html"", ""vertical"": ""Tourism""}"
"Mesa Incógnita ""Cocina y Bar"" #1 TRIPADVISOR",mesaincognita@gmail.com,+56949011435,"Mesa Incógnita ""Cocina y Bar"" #1 TRIPADVISOR",Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,mesaincognita.cl,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""mesaincognita.cl"", ""page"": ""companies/valdivia/mesa-incógnita-\""cocina-y-bar\""-#1-tripadvisor.html"", ""vertical"": ""Restaurants""}"
